N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
261,영진약품,"4,780",85,+1.81%,500,"8,742","182,893",3.68,"450,359",-71.34,-0.12,
262,TIGER 200 IT,"34,240",425,+1.26%,0,"8,711","25,440",0.07,"137,938",N/A,N/A,
263,대한해운,"2,695",0,0.00%,500,"8,602","319,177",5.15,"3,754,474",3.68,1.10,
264,해성디에스,"50,500","1,150",+2.33%,"5,000","8,585","17,000",6.66,"93,785",17.46,13.62,
265,쿠쿠홈시스,"38,200",350,+0.92%,100,"8,571","22,437",4.60,"21,908",5.87,15.94,
266,엠씨넥스,"47,300","2,500",+5.58%,500,"8,502","17,974",9.28,"326,136",44.83,16.10,
267,삼성 레버리지 WTI원유 선물 ETN,"1,680",50,-2.89%,0,"8,467","504,000",0.00,"2,051,489",N/A,N/A,
268,대신증권,"16,450",50,+0.30%,"5,000","8,352","50,773",14.96,"21,538",2.24,7.35,
269,현대그린푸드,"8,470",110,+1.32%,500,"8,276","97,704",9.62,"145,670",10.44,4.07,
270,동원산업,"221,000","3,000",+1.38%,"5,000","8,128","3,678",8.24,"3,568",3.97,21.01,
271,대상,"23,250",0,0.00%,"1,000","8,056","34,648",10.61,"94,271",8.99,12.02,
272,아모레퍼시픽우,"76,200",900,-1.17%,500,"8,045","10,558",63.35,"17,538",29.39,N/A,
273,SBS,"44,000",50,-0.11%,"5,000","8,031","18,253",0.00,"19,727",5.08,-12.32,
274,대성홀딩스,"49,750",100,+0.20%,"1,000","8,004","16,089",5.83,"65,968",95.31,9.73,
275,신한 레버리지 WTI원유 선물 ETN(H),"1,340",40,-2.90%,0,"7,772","580,000",0.00,"1,024,022",N/A,N/A,
276,SK디스커버리,"40,200",200,+0.50%,"5,000","7,653","19,038",7.49,"12,851",4.18,14.71,
277,유니드,"85,600","1,400",+1.66%,"5,000","7,610","8,890",13.16,"34,932",4.04,10.29,
278,우리종금,870,8,+0.93%,500,"7,606","874,203",1.96,"1,578,893",9.35,14.05,
279,롯데제과,"117,500","1,500",+1.29%,500,"7,540","6,417",17.80,"4,851",13.37,3.42,
280,LX홀딩스,"9,840",110,-1.11%,"1,000","7,506","76,281",10.01,"321,059",N/A,N/A,
281,SGC에너지,"51,000",800,+1.59%,"5,000","7,485","14,677",2.77,"26,267",12.58,6.24,
282,흥아해운,"3,070",215,+7.53%,500,"7,381","240,425",0.80,"5,757,642",47.97,"-2,195.07",
283,유나이티드제약,"45,400",150,-0.33%,500,"7,375","16,245",9.46,"44,757",25.22,10.01,
284,코리아써키트,"31,050","1,550",+5.25%,500,"7,334","23,621",4.49,"702,797",33.57,3.39,
285,삼양홀딩스,"84,300","1,900",+2.31%,"5,000","7,220","8,564",8.18,"11,485",2.86,6.96,
286,HANARO 200,"36,965",120,+0.33%,0,"7,208","19,500",0.08,"3,989",N/A,N/A,
287,현대홈쇼핑,"59,700",700,+1.19%,"5,000","7,164","12,000",29.16,"12,500",4.92,6.39,
288,드림텍,"10,950",250,+2.34%,100,"7,155","65,343",20.78,"308,424",11.36,8.79,
289,SPC삼립,"82,500",100,+0.12%,"5,000","7,119","8,629",2.50,"11,325",27.18,-3.98,
290,유안타증권,"3,560",15,+0.42%,"5,000","7,106","199,597",63.76,"185,817",3.14,7.92,
291,미래에셋생명,"4,010",65,+1.65%,"5,000","7,098","177,016",4.35,"80,667",26.38,3.45,
292,현대일렉트릭,"19,450",0,0.00%,"5,000","7,011","36,047",14.12,"59,616",107.46,-5.84,
293,KODEX 자동차,"18,890",105,+0.56%,0,"6,989","37,000",1.13,"169,748",N/A,N/A,
294,디티알오토모티브,"69,900",400,+0.58%,500,"6,986","9,994",4.78,"24,118",12.45,7.48,
295,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"10,195",245,+2.46%,0,"6,843","67,120",0.67,"134,247",N/A,N/A,
296,경동나비엔,"46,100",650,+1.43%,"1,000","6,716","14,569",12.54,"41,103",7.15,12.83,
297,삼양식품,"89,000",600,+0.68%,"5,000","6,704","7,533",12.07,"20,465",15.43,21.47,
298,현대건설기계,"34,000",700,+2.10%,"5,000","6,698","19,701",17.96,"57,285",5.72,-0.80,
299,동원F&B,"172,000","5,500",-3.10%,"5,000","6,638","3,859",6.01,"22,610",8.80,10.91,
300,파미셀,"11,050",50,+0.45%,500,"6,625","59,959",8.19,"156,204",79.50,9.65,
301,SK디앤디,"29,400",500,+1.73%,"1,000","6,524","22,190",5.06,"15,704",9.75,14.88,
302,세아베스틸,"18,150","1,150",+6.76%,"5,000","6,509","35,862",15.95,"227,506",-6.99,-14.18,
303,율촌화학,"26,000",950,+3.79%,500,"6,448","24,800",5.19,"58,191",62.50,5.85,
304,동아쏘시오홀딩스,"101,500",0,0.00%,"5,000","6,444","6,349",12.14,"6,802",2.95,19.87,
305,영원무역홀딩스,"46,950",950,+2.07%,500,"6,402","13,636",20.73,"4,012",3.91,7.64,
306,NICE,"16,850",100,+0.60%,500,"6,383","37,882",19.43,"38,250",13.22,2.43,
307,넥센타이어,"6,480",110,+1.73%,500,"6,329","97,668",4.90,"78,515",25.12,-1.09,
308,넥스트사이언스,"15,000",100,-0.66%,500,"6,325","42,166",11.19,"555,739",-18.09,-41.41,
309,미래에셋증권2우B,"4,515",20,+0.44%,"5,000","6,321","140,000",11.71,"83,987",3.09,N/A,
310,쿠쿠홀딩스,"17,750",350,+2.01%,100,"6,312","35,562",8.07,"32,524",4.42,14.88,
311,SNT모티브,"43,150",850,+2.01%,"5,000","6,310","14,623",20.25,"21,048",7.88,9.90,
312,ARIRANG 200,"37,690",105,+0.28%,0,"6,275","16,650",0.10,"79,676",N/A,N/A,
313,덴티움,"56,500",900,+1.62%,500,"6,254","11,069",17.41,"30,557",12.95,10.34,
314,풀무원,"16,400",100,+0.61%,500,"6,252","38,121",0.83,"17,052",36.44,3.84,
315,HJ중공업,"7,470",290,+4.04%,"5,000","6,221","83,274",20.12,"78,556",-7.32,27.71,
316,KINDEX 200,"37,205",130,+0.35%,0,"6,176","16,600",16.24,"173,541",N/A,N/A,
317,한국단자,"59,200","1,000",+1.72%,500,"6,166","10,415",21.97,"11,208",7.94,7.84,
318,DL건설,"27,000",600,+2.27%,"5,000","5,954","22,053",2.08,"13,780",4.36,23.71,
319,신영증권,"63,100",300,+0.48%,"5,000","5,923","9,386",8.03,"2,413",11.33,15.34,
320,삼화콘덴서,"56,900","1,200",+2.15%,"1,000","5,915","10,395",7.56,"60,266",19.39,14.28,
321,KODEX Top5PlusTR,"18,460",55,-0.30%,0,"5,889","31,900",15.67,"1,897",N/A,N/A,
322,QV 코스피 변동성 매칭형 양매도 ETN,"8,230",0,0.00%,0,"5,761","70,000",0.00,0,N/A,N/A,
323,동아에스티,"67,300",200,-0.30%,"5,000","5,684","8,446",19.84,"9,763",141.09,4.21,
324,DI동일,"225,000","1,000",+0.45%,"5,000","5,649","2,511",3.17,"3,596",16.15,4.00,
325,아세아시멘트,"145,000","3,000",+2.11%,"5,000","5,649","3,896",3.59,"11,598",6.91,2.94,
326,대한제강,"22,900",300,+1.33%,"1,000","5,644","24,647",10.37,"504,706",6.21,10.21,
327,롯데정보통신,"36,000","1,550",+4.50%,"5,000","5,543","15,396",1.39,"68,797",14.12,7.43,
328,한국토지신탁,"2,195",5,-0.23%,"1,000","5,542","252,489",18.38,"855,004",4.41,9.44,
329,롯데손해보험,"1,760",25,+1.44%,"1,000","5,462","310,336",0.73,"137,675",53.33,-2.53,
330,KOSEF 200,"36,940",115,+0.31%,0,"5,449","14,750",0.00,"4,763",N/A,N/A,
331,키다리스튜디오,"15,600",150,+0.97%,500,"5,415","34,709",1.13,"241,967",66.67,0.22,
332,KODEX 코스닥 150,"12,285",170,+1.40%,0,"5,412","44,050",2.47,"2,781,135",N/A,N/A,
333,롯데하이마트,"22,750",100,+0.44%,"5,000","5,371","23,608",7.75,"12,470",54.43,1.49,
334,KINDEX 미국S&P500,"13,090",130,+1.00%,0,"5,341","40,800",0.62,"628,111",N/A,N/A,
335,KBSTAR 단기통안채,"104,945",5,0.00%,0,"5,332","5,081",0.00,"114,451",N/A,N/A,
336,삼양사,"51,600",700,+1.38%,"5,000","5,322","10,313",4.39,"22,988",11.17,5.06,
337,빙그레,"53,600",200,+0.37%,"5,000","5,280","9,851",20.74,"11,841",33.46,6.01,
338,한국카본,"11,850","1,600",+15.61%,500,"5,209","43,961",6.01,"3,647,092",16.01,16.55,
339,한일현대시멘트,"29,150",400,+1.39%,"5,000","5,181","17,775",0.32,"9,631",9.24,27.27,
340,락앤락,"10,050",0,0.00%,500,"5,181","51,550",75.53,"85,649",30.73,1.74,
341,JW중외제약,"23,250",600,+2.65%,"2,500","5,156","22,178",6.28,"112,365",-455.88,-6.97,
342,코오롱글로벌,"20,450",700,+3.54%,"5,000","5,156","25,210",1.90,"31,130",3.75,17.83,
343,신성통상,"3,550",30,-0.84%,500,"5,102","143,708",1.25,"902,582",8.43,11.62,
344,LF,"17,300",100,+0.58%,"5,000","5,059","29,240",23.66,"18,558",5.47,1.41,
345,효성중공업,"54,000",200,+0.37%,"5,000","5,035","9,325",6.37,"12,538",17.18,-2.48,
346,애경산업,"19,050",400,+2.14%,"1,000","5,031","26,410",2.29,"91,825",28.78,3.41,
347,송원산업,"20,900",500,+2.45%,500,"5,016","24,000",17.32,"491,904",10.25,6.17,
348,삼성화재우,"155,500",0,0.00%,500,"4,964","3,192",22.85,"16,470",6.72,N/A,
349,교보증권,"7,660",50,+0.66%,"5,000","4,952","64,653",4.19,"24,732",3.08,9.35,
350,이연제약,"27,500",50,-0.18%,500,"4,950","17,999",2.76,"35,665",87.58,1.71,
351,SK렌터카,"10,400",50,+0.48%,500,"4,918","47,286",0.58,"49,236",19.37,4.50,
352,애경케미칼,"10,050",100,+1.01%,500,"4,889","48,649",8.45,"104,822",3.92,11.72,
353,고려제강,"21,200",500,+2.42%,"1,000","4,876","23,000",8.15,"21,070",4.12,0.62,
354,BGF,"5,070",20,-0.39%,"1,000","4,853","95,717",5.40,"102,346",10.54,1.81,
355,일양약품,"25,000",250,-0.99%,"2,500","4,771","19,086",11.41,"50,994",42.23,5.39,
356,LX하우시스,"53,200","1,500",+2.90%,"5,000","4,771","8,968",22.59,"45,839",-4.61,-8.80,
357,삼성SDI우,"292,000","1,500",+0.52%,"5,000","4,724","1,618",17.16,"2,371",18.31,N/A,
358,이수페타시스,"7,430",0,0.00%,"1,000","4,699","63,246",3.90,"1,405,403",-25.10,-19.14,
359,국도화학,"52,000",400,+0.78%,"5,000","4,686","9,011",20.34,"27,392",3.06,5.54,
360,엔에스쇼핑,"13,900",350,+2.58%,500,"4,684","33,696",4.29,"142,981",-20.03,1.53,
361,남해화학,"9,390",0,0.00%,"1,000","4,665","49,679",4.58,"226,923",105.51,5.65,
362,서흥,"39,500",900,+2.33%,500,"4,570","11,569",11.55,"11,333",8.41,16.73,
363,한국자산신탁,"3,680",0,0.00%,500,"4,562","123,978",7.97,"97,668",4.08,18.18,
364,잇츠한불,"20,800",150,+0.73%,500,"4,561","21,929",0.70,"144,239",-31.09,-3.52,
365,HDC,"7,630",140,+1.87%,"5,000","4,558","59,742",19.41,"153,155",2.57,4.72,
366,KOSEF 200TR,"44,030",105,+0.24%,0,"4,557","10,350",0.02,"5,367",N/A,N/A,
367,YG PLUS,"7,180",90,+1.27%,500,"4,554","63,429",2.56,"554,814",94.47,-6.94,
368,코람코에너지리츠,"6,540",0,0.00%,500,"4,553","69,620",1.36,"119,624",22.47,5.67,
369,SIMPAC,"6,910",90,+1.32%,500,"4,521","65,430",7.77,"308,621",5.50,7.54,
370,세아제강지주,"109,000","3,500",+3.32%,"5,000","4,514","4,142",7.20,"26,368",3.29,1.76,
371,한화손해보험,"3,830",95,+2.54%,"5,000","4,471","116,739",8.24,"179,517",3.42,3.11,
372,신영증권우,"63,300",300,+0.48%,"5,000","4,465","7,054",6.25,227,11.36,N/A,
373,에어부산,"2,295",25,-1.08%,"1,000","4,450","193,920",0.44,"1,202,811",-1.10,N/A,
374,TIGER KRX2차전지K-뉴딜,"14,050",60,+0.43%,0,"4,405","31,350",1.19,"520,975",N/A,N/A,
375,HSD엔진,"9,390",930,+10.99%,"1,000","4,387","46,721",5.04,"1,794,471",-15.10,3.16,
376,KEC,"3,025",35,+1.17%,500,"4,379","144,748",2.18,"1,685,139",-24.01,-24.43,
377,동일산업,"180,500","1,500",+0.84%,"5,000","4,378","2,425",3.50,"1,920",12.44,2.24,
378,스틱인베스트먼트,"10,500",530,+5.32%,500,"4,376","41,678",7.13,"488,332",10.58,11.76,
379,KINDEX 단기통안채,"100,240",0,0.00%,0,"4,356","4,346",0.00,"1,256",N/A,N/A,
380,KODEX 미국FANG플러스(H),"24,705",170,+0.69%,0,"4,348","17,600",0.02,"83,764",N/A,N/A,
381,케이씨텍,"20,750",50,+0.24%,500,"4,329","20,862",10.37,"23,706",9.89,13.39,
382,한라홀딩스,"41,200",700,+1.73%,"5,000","4,314","10,472",12.57,"17,592",3.31,4.97,
383,삼성 코스피 양매도 5% OTM ETN,"8,590",0,0.00%,0,"4,295","50,000",0.00,0,N/A,N/A,
384,한진,"28,700",50,-0.17%,"5,000","4,290","14,948",11.13,"9,187",2.07,0.74,
385,맵스리얼티1,"4,590",40,-0.86%,0,"4,261","92,834",3.67,"54,261",N/A,N/A,
386,KODEX K-메타버스액티브,"10,190",165,+1.65%,0,"4,239","41,600",0.25,"1,621,865",N/A,N/A,
387,아주스틸,"15,950",500,+3.24%,500,"4,219","26,452",20.64,"141,592",25.52,10.65,
388,신한알파리츠,"8,040",10,+0.12%,"1,000","4,207","52,330",1.48,"31,639",58.26,0.59,
389,아세아제지,"46,450",150,+0.32%,"5,000","4,160","8,957",5.26,"27,490",4.52,8.90,
390,대원제약,"19,600",500,-2.49%,500,"4,160","21,225",13.28,"3,333,491",120.99,8.42,
391,쌍용차,"2,770",0,0.00%,"5,000","4,151","149,840",76.58,0,-0.94,-320.22,
392,TIGER Fn메타버스,"10,315",195,+1.93%,0,"4,147","40,200",0.17,"1,846,473",N/A,N/A,
393,삼천리,"102,000","1,000",-0.97%,"5,000","4,136","4,055",20.46,"9,919",5.36,2.49,
394,SK증권,870,13,+1.52%,500,"4,112","472,590",6.10,"1,101,465",8.45,1.99,
395,퍼시스,"35,700",300,-0.83%,"1,000","4,106","11,500",20.49,738,10.95,7.53,
396,지역난방공사,"35,150",500,+1.44%,"5,000","4,070","11,579",0.85,"3,315",9.33,1.68,
397,경방,"14,800",300,+2.07%,500,"4,057","27,415",1.98,"7,549",18.20,2.98,
398,스카이라이프,"8,450",10,+0.12%,"2,500","4,041","47,822",14.40,"28,328",7.58,7.97,
399,세아홀딩스,"99,900",600,-0.60%,"5,000","3,996","4,000",0.71,106,-2.81,-8.48,
400,현대퓨처넷,"3,500",0,0.00%,500,"3,951","112,877",13.19,"78,620",5.20,-4.11,
401,제일약품,"26,800",0,0.00%,500,"3,941","14,705",2.86,"15,756",-348.05,N/A,
402,자화전자,"21,950",200,-0.90%,500,"3,929","17,900",8.04,"268,236",19.51,-2.30,
403,세진중공업,"6,900",490,+7.64%,500,"3,923","56,849",1.77,"468,130",14.74,1.19,
404,한국콜마홀딩스,"21,000",350,-1.64%,500,"3,901","18,577",14.91,"53,427",4.71,21.96,
405,KBSTAR KIS종합채권(A-이상)액티브,"97,915",70,+0.07%,0,"3,889","3,972",0.00,7,N/A,N/A,
406,LG헬로비전,"5,020",30,-0.59%,"2,500","3,888","77,447",4.27,"268,167",-1.26,-39.53,
407,와이투솔루션,"2,440",0,0.00%,500,"3,885","159,236",1.06,0,44.36,-64.02,
408,대신증권우,"14,900",50,+0.34%,"5,000","3,874","26,000",11.23,"21,990",2.03,N/A,
409,태영건설,"9,950",230,+2.37%,500,"3,870","38,899",7.93,"38,428",-163.11,61.96,
410,코오롱플라스틱,"10,150",150,+1.50%,"1,000","3,857","38,000",2.06,"138,425",14.24,1.51,
411,롯데푸드,"318,000","2,500",+0.79%,"5,000","3,845","1,209",11.55,"1,212",12.90,N/A,
412,한국금융지주우,"65,500","1,000",+1.55%,"5,000","3,837","5,858",15.41,"6,036",2.24,N/A,
413,한국철강,"8,320",230,+2.84%,"1,000","3,831","46,050",10.46,"268,679",15.94,-1.19,
414,한전산업,"11,750",250,+2.17%,500,"3,830","32,600",1.25,"313,110",52.46,16.20,
415,미래에셋 레버리지 원유선물혼합 ETN(H),"9,340",220,-2.30%,0,"3,829","41,000",0.00,"23,649",N/A,N/A,
416,KG케미칼,"27,400",650,+2.43%,"5,000","3,799","13,866",2.95,"36,261",4.03,11.94,
417,광동제약,"7,220",170,+2.41%,"1,000","3,785","52,421",19.61,"180,487",35.57,10.08,
418,대성에너지,"13,750","1,200",+9.56%,"1,000","3,781","27,500",2.17,"31,097,410",25.70,4.55,
419,이리츠코크렙,"5,960",20,+0.34%,500,"3,775","63,342",0.41,"27,628",24.94,2.85,
420,금호건설,"10,300",150,+1.48%,"5,000","3,773","36,634",6.74,"64,366",3.49,6.89,
421,테이팩스,"79,900","3,200",+4.17%,500,"3,769","4,718",1.89,"98,166",21.80,12.86,
422,KODEX 코스피,"27,865",150,+0.54%,0,"3,762","13,500",0.09,"107,031",N/A,N/A,
423,교촌에프앤비,"15,000",50,-0.33%,500,"3,747","24,983",0.31,"32,195",13.55,20.40,
424,KODEX 코스닥150선물인버스,"4,815",70,-1.43%,0,"3,741","77,700",7.08,"29,804,644",N/A,N/A,
425,신대양제지,"91,600","1,100",+1.22%,"5,000","3,691","4,030",10.12,"5,640",7.39,9.72,
426,티웨이항공,"3,330",125,-3.62%,500,"3,674","110,330",0.39,"3,812,783",-2.62,-90.15,
427,코오롱,"29,000",500,+1.75%,"5,000","3,662","12,626",10.84,"17,259",2.16,22.75,
428,코스모화학,"13,100",200,+1.55%,"1,000","3,650","27,860",1.06,"126,547",-61.21,-19.42,
429,일진다이아,"25,500",450,+1.80%,"1,000","3,622","14,203",2.47,"17,263",53.01,2.88,
430,자이에스앤디,"9,240",110,+1.20%,"1,000","3,584","38,783",0.37,"81,846",8.45,13.59,
431,알루코,"3,985",20,-0.50%,500,"3,578","89,791",1.13,"8,137,057",-21.66,-7.24,
432,KODEX 선진국MSCI World,"20,285",465,+2.35%,0,"3,550","17,500",0.14,"138,773",N/A,N/A,
433,KINDEX 미국나스닥100,"12,815",235,+1.87%,0,"3,550","27,700",0.04,"92,576",N/A,N/A,
434,신성이엔지,"1,730",10,+0.58%,500,"3,549","205,166",4.04,"783,140",-10.55,-8.77,
435,한일홀딩스,"12,300",200,+1.65%,"1,000","3,544","28,816",3.03,"6,085",5.78,4.21,
436,이수화학,"12,650",150,+1.20%,"5,000","3,537","27,960",2.03,"173,257",-7.11,-31.08,
437,동화약품,"12,650",100,-0.78%,"1,000","3,533","27,931",3.26,"173,324",17.74,9.04,
438,현대차증권,"11,100",150,+1.37%,"5,000","3,520","31,713",3.72,"31,870",4.62,8.20,
439,삼진제약,"25,150",0,0.00%,"1,000","3,496","13,900",8.15,"29,768",9.52,13.57,
440,종근당홀딩스,"69,500",0,0.00%,"2,500","3,482","5,010",6.92,"3,556",7.53,15.59,
441,디앤디플랫폼리츠,"5,370",20,-0.37%,"1,000","3,458","64,400",0.20,"42,791",94.21,N/A,
442,농심홀딩스,"74,400",400,+0.54%,"5,000","3,451","4,638",2.02,"1,934",6.70,7.23,
443,금호에이치티,"1,730",30,+1.76%,500,"3,401","196,567",1.56,"784,315","-1,730.00",-4.85,
444,동양,"1,410",25,+1.81%,500,"3,365","238,684",5.80,"494,542",-25.18,-2.92,
445,아이마켓코리아,"10,000",30,+0.30%,500,"3,343","33,429",7.60,"41,494",11.53,5.87,
446,KODEX 미국S&P500TR,"11,400",105,+0.93%,0,"3,340","29,300",0.13,"411,719",N/A,N/A,
447,한화3우B,"14,850",100,+0.68%,"5,000","3,337","22,472",11.65,"14,248",2.51,N/A,
448,하나제약,"18,750",150,+0.81%,500,"3,332","17,773",0.95,"9,597",19.90,6.58,
449,조광피혁,"50,100",200,-0.40%,"5,000","3,331","6,649",0.35,368,25.54,6.66,
450,웅진씽크빅,"2,870",10,+0.35%,500,"3,315","115,506",4.42,"256,843",9.63,0.23,
451,대상홀딩스,"9,130",270,+3.05%,"1,000","3,306","36,213",4.32,"1,345,461",6.49,14.21,
452,TIGER 차이나항셍테크,"7,015",130,+1.89%,0,"3,297","47,000",0.00,"689,267",N/A,N/A,
453,한국쉘석유,"252,500","1,000",+0.40%,"5,000","3,282","1,300",63.27,928,13.20,21.44,
454,미원홀딩스,"141,000","1,000",+0.71%,500,"3,271","2,320",0.83,432,10.73,11.35,
455,이월드,"2,305",15,-0.65%,"1,000","3,269","141,806",0.53,"325,862",-51.22,-4.11,
456,삼양패키징,"23,000",250,+1.10%,"5,000","3,268","14,210",7.41,"8,546",10.13,10.88,
457,제이에스코퍼레이션,"24,500","1,300",+5.60%,100,"3,267","13,336",2.27,"300,295",12.71,1.54,
458,TIGER 미국S&P500선물(H),"50,690",520,+1.04%,0,"3,231","6,375",0.08,"10,529",N/A,N/A,
459,신도리코,"32,000",450,+1.43%,"5,000","3,226","10,080",16.04,"8,620",3.78,-1.56,
460,계룡건설,"35,900",800,+2.28%,"5,000","3,206","8,931",21.40,"71,069",2.83,18.69,
461,NPC,"8,730",30,-0.34%,500,"3,206","36,720",2.36,"1,613,583",14.82,6.53,
462,E1,"46,700",700,+1.52%,"5,000","3,204","6,860",3.22,"5,511",2.09,5.19,
463,엘브이엠씨홀딩스,"3,195",25,+0.79%,0,"3,178","99,455",16.58,"113,232",-10.61,-7.20,
464,신세계푸드,"81,600",900,+1.12%,"5,000","3,160","3,872",4.86,"5,701",-44.44,-7.35,
465,조선내화,"78,500",400,+0.51%,"5,000","3,140","4,000",2.79,366,16.66,5.55,
466,삼아알미늄,"28,400",100,+0.35%,500,"3,124","11,000",33.21,"662,752",30.67,3.20,
467,동부건설,"13,650",300,+2.25%,"5,000","3,122","22,873",1.63,"62,929",2.96,10.10,
468,삼부토건,"2,075",15,+0.73%,"1,000","3,120","150,356",3.64,"2,290,999",-21.84,-8.73,
469,CJ4우(전환),"73,700",300,+0.41%,"5,000","3,115","4,227",3.99,"1,979",63.86,N/A,
470,성신양회,"12,700",500,+4.10%,"5,000","3,114","24,516",8.55,"340,914",49.80,2.53,
471,아세아,"142,000","3,000",-2.07%,"5,000","3,111","2,191",4.94,"5,308",3.41,5.30,
472,유진투자증권,"3,210",115,+3.72%,"5,000","3,109","96,866",7.54,"216,942",3.38,9.11,
473,무학,"10,900",200,-1.80%,200,"3,106","28,500",14.63,"469,082",143.42,2.55,
474,유니퀘스트,"11,350",400,+3.65%,500,"3,103","27,343",44.82,"237,741",6.23,10.80,
475,SOL 200TR,"12,610",50,+0.40%,0,"3,102","24,600",0.09,"18,055",N/A,N/A,
476,하이트진로홀딩스,"13,350",350,-2.55%,"5,000","3,098","23,207",6.95,"33,588",6.73,13.89,
477,신세계 I&C,"180,000","6,500",+3.75%,"5,000","3,096","1,720",1.53,"25,466",8.76,33.89,
478,환인제약,"16,500",0,0.00%,500,"3,069","18,600",14.38,"9,417",11.18,8.21,
479,KODEX 미국나스닥100TR,"10,960",190,+1.76%,0,"3,069","28,000",0.14,"288,649",N/A,N/A,
480,KTB투자증권,"5,080",70,+1.40%,"5,000","3,064","60,314",11.27,"94,408",2.18,13.04,
481,진흥기업,"2,105",10,+0.48%,500,"3,062","145,472",1.36,"586,569",5.91,18.86,
482,TIGER 차이나과창판STAR50(합성),"9,320",450,+5.07%,0,"3,057","32,800",2.09,"188,657",N/A,N/A,
483,대교,"3,595",5,+0.14%,500,"3,045","84,703",3.60,"48,593",-133.15,-3.02,
484,KBSTAR ESG사회책임투자,"12,510",25,+0.20%,0,"3,015","24,100",0.01,"13,241",N/A,N/A,
485,에이프로젠제약,752,3,+0.40%,500,"2,997","398,576",3.74,"441,403",53.71,2.99,
486,KISCO홀딩스,"16,150",400,+2.54%,"1,000","2,984","18,476",10.78,"24,229",4.12,4.16,
487,풍산홀딩스,"28,600",200,+0.70%,"5,000","2,977","10,410",9.92,"13,628",1.97,1.92,
488,화승인더,"5,370",20,+0.37%,500,"2,971","55,320",12.23,"102,449",13.03,10.94,
489,KH 필룩스,"2,100",10,-0.47%,500,"2,967","141,294",8.05,"303,419",-4.74,-17.37,
490,한솔제지,"12,450",150,+1.22%,"5,000","2,963","23,801",8.58,"40,661",19.76,9.67,
491,조일알미늄,"2,400",160,+7.14%,500,"2,962","123,432",0.55,"11,225,123",33.80,-7.85,
492,KBSTAR Fn수소경제테마,"10,135",180,+1.81%,0,"2,944","29,050",0.00,"52,700",N/A,N/A,
493,화성산업,"23,500","3,450",+17.21%,"5,000","2,926","12,451",10.13,"1,701,269",17.05,N/A,
494,모토닉,"8,840",40,+0.45%,500,"2,917","33,000",10.97,"8,277",17.47,3.61,
495,LS네트웍스,"3,690",60,+1.65%,"5,000","2,908","78,803",0.02,"681,678",12.95,-4.87,
496,에이프로젠 MED,"1,440",10,-0.69%,500,"2,905","201,718",1.32,"620,875",-8.28,-15.79,
497,일신방직,"121,000","3,000",+2.54%,"5,000","2,904","2,400",8.69,"4,795",5.61,1.42,
498,HANARO MSCI Korea TR,"14,890",0,0.00%,0,"2,904","19,500",0.00,617,N/A,N/A,
499,두산우,"72,300","2,000",+2.84%,"5,000","2,889","3,996",13.24,"5,450",-41.65,N/A,
500,인스코비,"2,630",30,+1.15%,500,"2,889","109,848",4.54,"471,834",30.23,8.32,
501,남양유업,"400,000","2,500",+0.63%,"5,000","2,880",720,13.24,"1,058",-5.91,-6.04,
502,태림포장,"4,060",0,0.00%,500,"2,875","70,806",0.41,"113,398",13.90,0.97,
503,BYC,"459,000","5,500",+1.21%,"5,000","2,867",625,1.91,137,15.71,4.12,
504,광주신세계,"179,000","6,500",+3.77%,"5,000","2,864","1,600",12.32,"6,390",5.73,6.35,
505,AK홀딩스,"21,600",400,-1.82%,"5,000","2,861","13,248",4.35,"37,841",-2.86,-20.57,
506,대한제분,"168,500","4,500",+2.74%,"5,000","2,848","1,690",8.47,"5,804",3.32,2.70,
507,삼성출판사,"28,450",500,+1.79%,500,"2,845","10,000",0.74,"44,240",5.52,45.58,
508,한독,"20,600",100,+0.49%,500,"2,835","13,764",1.65,"14,896",18.90,7.47,
509,서연,"12,050",200,+1.69%,500,"2,829","23,480",0.09,"227,380",7.06,-1.26,
510,KSS해운,"12,200",0,0.00%,500,"2,829","23,186",6.21,"305,393",7.17,4.78,
511,STX엔진,"12,250","2,810",+29.77%,"2,500","2,819","23,009",0.00,"2,067,860",19.35,8.19,
512,삼성제약,"4,190",30,+0.72%,500,"2,814","67,162",6.13,"125,388",-5.69,-30.13,
513,KINDEX 200TR,"22,615",70,+0.31%,0,"2,804","12,400",0.00,"3,116",N/A,N/A,
514,신한서부티엔디리츠,"4,955",15,+0.30%,"1,000","2,773","55,956",1.92,"25,142",N/A,-0.25,
515,현대리바트,"13,500",250,+1.89%,"1,000","2,772","20,535",4.38,"26,402",19.88,5.66,
516,세아제강,"97,700","4,300",+4.60%,"5,000","2,771","2,836",7.91,"9,216",4.43,5.67,
517,TIGER KRX BBIG K-뉴딜,"9,085",35,+0.39%,0,"2,771","30,500",0.28,"79,588",N/A,N/A,
518,대동,"11,600",500,+4.50%,"1,000","2,752","23,728",2.53,"315,421",8.64,7.74,
519,SNT중공업,"8,260",0,0.00%,"2,500","2,747","33,253",6.23,"8,118",4.66,9.44,
520,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,565",15,+0.01%,0,"2,733","2,718",0.00,"509,125",N/A,N/A,
521,포스코강판,"45,300","1,300",+2.95%,"5,000","2,718","6,000",2.49,"26,326",3.06,2.88,
